코인/토큰명,,* 두개 거래소에 모두 등록된 코인
ADA,,* 주기적으로 업데이트 필요
ADX,,* 둘다 BTC 마켓에 있는지 확인 필요
AERGO,,
ALGO,,
ANKR,,
ANT,,
ARDR,,
ARK,,
ATOM,,
AUCTION,,
AXS,,
BAT,,
BCH,,
BNT,,
CELO,,
CHR,,
CHZ,,
COMP,,
CRV,,
CTSI,,
CVC,,
DGB,,
DNT,,
DOGE,,
DOT,,
ELF,,
ENJ,,
EOS,,
ETC,,
ETH,,
FIL,,
FOR,,
GLM,,
GO,,
GRS,,
GRT,,
HIVE,,
INJ,,
IOST,,
IOTX,,
JST,,
JUV,,
KAVA,,
KMD,,
LINA,,
LINK,,
LOOM,,
LRC,,
LSK,,
LTC,,
LUNA,,
MANA,,
MKR,,
MTL,,
NEAR,,
NKN,,
NMR,,
OGN,,
OMG,,
OXT,,
POLY,,
POWR,,
PSG,,
QTUM,,
RCN,,
REP,,
RLC,,
RSR,,
RVN,,
SAND,,
SC,,
SNT,,
SNX,,
SRM,,
STEEM,,
STMX,,
STORJ,,
STPT,,
STRAX,,
STX,,
SXP,,
SYS,,
TRX,,
UNI,,
VET,,
VITE,,
WAVES,,
XLM,,
XRP,,
XTZ,,
ZIL,,
ZRX,,