코인/토큰,업비트,,,바이낸스,,
,최소출금액,입금수수료,출금수수료,최소출금액,입금수수료,출금수수료
ADA,,0,0.5,2,0,1
ADX,,0,14,30,0,15
AERGO,,0,50,112,0,56
ALGO,,0,0.1,10,0,0.01
ANKR,,0,150,276,0,138
ANT,,0,1.5,3.3,0,1.65
ARDR,,0,2,4,0,2
ARK,,0,0.1,0.4,0,0.2
ATOM,,0,0.01,0.01,0,0.005
AUCTION,,0,0.4,1.08,0,0.54
AXS,,0,3,4.92,0,2.46
BAT,,0,20,34,0,17
BCH,,0,0.001,0.002,0,0.001
BCHA,,0,0.001,0.005,0,0.001
BNT,,0,3,5.52,0,2.76
BTC,,0,0.0009,0.001,0,0.0005
BTG,,0,0.001,0.002,0,0.001
BTM,,0,0.1,10,0,5
BTS,,0,5,2,0,1
BTT,,0,0,26,0,13
CBK,,0,1,2.4,0,1.2
CELO,,0,2,0.002,0,0.001
CHZ,,0,50,92,0,46
CLOAK,,0,0.02,0.02,0,0.02
COMP,,0,0.04,0.082,0,0.041
CRV,,0,5,12,0,6.34
CTSI,,0,45,74,0,37
CVC,,0,30,70,0,35
DAI,,0,15,30,0,15
DASH,,0,0.002,0.004,0,0.002
DCR,,0,0.05,0.02,0,0.01
DENT,,0,"1,500.00","2,222.00",0,"1,111.00"
DGB,,0,0.2,0.4,0,0.2
DNT,,0,60,334,0,167
DOGE,,0,2,100,0,20
DON,,0,0,0.022,0,0.011
DOT,,0,1.5,3,0,0.1
ELF,,0,40,92,0,46
ENG,,0,1.5,1,0,0
ENJ,,0,13,17,0,8.9
EOS,,0,0,0.2,0,0.1
ETC,,0,0.01,0.02,0,0.01
ETH,,0,0.018,0.016,0,0.008
FIL,,0,0.15,0.01,0,0.001
FOR,,0,200,508,0,254
FUN,,0,60,820,0,410
GAS,,0,0,1,0,0.005
GLM,,0,25,76,0,38
GO,,0,0.01,2,0,1
GRS,,0,0.2,0.4,0,0.2
HBAR,,0,0.01,2,0,1
ICX,,0,0.01,0.04,0,0.02
INJ,,0,1.2,3.2,0,1.6
IOST,,0,0,2,0,1
IOTA,,0,0,1,0,0.5
IOTX,,0,110,1,0,0.1
IQ,,0,0,100,0,50
JST,,0,30,100,0,50
KAVA,,0,1.7,0.1,0,0.001
KMD,,0,0.002,0.004,0,0.002
KNC,,0,7,12,0,6.46
LINA,,0,200,390,0,195
LINK,,0,0.6,1.32,0,0.66
LOOM,,0,90,210,0,105
LRC,,0,30,70,0,35
LSK,,0,0.1,0.2,0,0.1
LTC,,0,0.01,0.002,0,0.001
LUN,,0,0.5,3.08,0,1.54
LUNA,,0,0.01,5,0,0.02
MANA,,0,35,42,0,21
MBL,,0,600,7.68,0,3.84
MCO,,0,0.5,2.82,0,1.41
MFT,,0,600,"1,624.00",0,812
MKR,,0,0.005,0.018,0,0.0091
MTL,,0,3,7.94,0,3.97
NAV,,0,0.2,0.4,0,0.2
NCASH,,0,"2,200.00","4,816.00",0,"2,408.00"
NEAR,,0,2,0.2,0,0.01
NEO,,0,0,1,0,0
NKN,,0,50,76,0,38
NMR,,0,0.4,0.62,0,0.31
NXS,,0,0.2,0.04,0,0.02
OGN,,0,10,16,0,8.44
OMG,,0,2.5,5.1,0,2.55
ONG,,0,1,0.17,0,0.087
ONT,,0,0.5,2,0,1
ONX,,0,2,10,0,5.26
OST,,0,60,810,0,405
OXT,,0,25,50,0,25
PIVX,,0,0.03,0.4,0,0.2
POLY,,0,30,80,0,40
POWR,,0,28,80,0,40
PROM,,0,1.5,3.04,0,1.52
QKC,,0,0.01,988,0,494
QTUM,,0,0.01,0.02,0,0.01
RCN,,0,110,262,0,131
REP,,0,0.45,0.96,0,0.48
RLC,,0,6.5,14,0,7.15
RSR,,0,214,496,0,248
RVN,,0,0.1,2,0,1
SALT,,0,1,10.4,0,5.2
SAND,,0,30,64,0,32
SC,,0,0.1,0.2,0,0.1
SNGLS,,0,3.5,"1,110.00",0,555
SNT,,0,130,240,0,120
SRM,,0,3,6.94,0,3.47
STEEM,,0,0.01,0.02,0,0.01
STMX,,0,310,542,0,271
STORJ,,0,5,15,0,7.65
STPT,,0,250,442,0,221
STRAX,,0,0.2,0.2,0,0.1
STX,,0,10,20,0,1
SUN,,0,0.0018,0.0058,0,0.0029
SXP,,0,5,9.46,0,4.73
SYS,,0,0.0002,2,0,1
TFUEL,,0,0,6.34,0,3.17
THETA,,0,0,0.2,0,0.1
TRX,,0,0,2,0,1
UNI,,0,0.6,1.38,0,0.69
VET,,0,100,200,0,100
VIA,,0,0.2,0.02,0,0.01
VIB,,0,17,348,0,174
VITE,,0,30,2,0,1
VTHO,,0,100,400,0,200
WAVES,,0,0.001,0.004,0,0.002
WINGS,,0,6,40,0,20
XEM,,0,4,8,0,4
XLM,,0,0.01,1,0,0.02
XMR,,0,0.04,0.0002,0,0.0001
XPR,,0,5,2,0,1
XRP,,0,1,0.5,0,0.25
XTZ,,0,0.1,1,0,0.1
XVG,,0,0.2,0.2,0,0.1
ZEN,,0,0.002,0.004,0,0.002
ZIL,,0,0.01,0.02,0,0.01
ZRX,,0,10,24,0,12